iter	Passed	Remaining
825	2103	443
826	2105	440
827	2108	438
828	2110	435
829	2113	432
830	2116	430
831	2118	427
832	2120	425
833	2123	422
834	2126	420
835	2128	417
836	2131	415
837	2133	412
838	2136	409
839	2138	407
840	2141	404
841	2143	402
842	2146	399
843	2148	397
844	2150	394
845	2153	391
846	2155	389
847	2158	386
848	2160	384
849	2163	381
850	2165	379
851	2168	376
852	2170	374
853	2173	371
854	2175	369
855	2178	366
856	2180	363
857	2183	361
858	2185	358
859	2188	356
860	2190	353
861	2192	351
862	2195	348
863	2197	345
864	2200	343
865	2203	340
866	2205	338
867	2208	335
868	2210	333
869	2213	330
870	2215	328
871	2218	325
872	2221	323
873	2224	320
874	2227	318
875	2229	315
876	2232	313
877	2235	310
878	2237	308
879	2240	305
880	2243	302
881	2245	300
882	2248	297
883	2251	295
884	2253	292
885	2255	290
886	2258	287
887	2260	285
888	2263	282
889	2266	280
890	2268	277
891	2271	275
892	2274	272
893	2276	269
894	2279	267
895	2281	264
896	2284	262
897	2286	259
898	2288	257
899	2291	254
900	2293	252
901	2296	249
902	2298	246
903	2300	244
904	2303	241
905	2305	239
906	2308	236
907	2310	234
908	2315	231
909	2317	229
910	2320	226
911	2322	224
912	2325	221
913	2328	219
914	2331	216
915	2334	214
916	2336	211
917	2339	208
918	2341	206
919	2344	203
920	2347	201
921	2349	198
922	2352	196
923	2354	193
924	2357	191
925	2360	188
926	2362	186
927	2365	183
928	2368	180
929	2370	178
930	2372	175
931	2375	173
932	2378	170
933	2380	168
934	2383	165
935	2385	163
936	2387	160
937	2390	158
938	2393	155
939	2395	152
940	2398	150
941	2400	147
942	2403	145
943	2406	142
944	2408	140
945	2411	137
946	2413	135
947	2416	132
948	2418	129
949	2422	127
950	2424	124
951	2428	122
952	2430	119
953	2433	117
954	2435	114
955	2438	112
956	2440	109
957	2443	107
958	2445	104
959	2448	102
960	2450	99
961	2453	96
962	2455	94
963	2458	91
964	2460	89
965	2462	86
966	2465	84
967	2467	81
968	2470	79
969	2473	76
970	2475	73
971	2477	71
972	2480	68
973	2482	66
974	2485	63
975	2487	61
976	2489	58
977	2492	56
978	2494	53
979	2496	50
980	2499	48
981	2501	45
982	2504	43
983	2506	40
984	2509	38
985	2511	35
986	2514	33
987	2517	30
988	2519	28
989	2522	25
990	2524	22
991	2527	20
992	2530	17
993	2532	15
994	2535	12
995	2537	10
996	2540	7
997	2542	5
998	2545	2
999	2547	0
